District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
duarte unified,1312.0,7465.0,0.1757535164099129,57.2,21.4,15.9,2.4,3.1,0,140,0.1067073170731707,0,0.0,30,0.0228658536585365,22,0.0167682926829268,903,0.6882621951219512,43,0.0327743902439024,0,0.0,47,0.0358231707317073,121,0.0922256097560975,CA,21,DUARTE,2
dublin unified,1028.0,12827.0,0.0801434474156077,48.0,17.8,26.6,1.1,6.6,0,77,0.0749027237354085,0,0.0,410,0.3988326848249027,50,0.0486381322957198,179,0.174124513618677,0,0.0,0,0.0,90,0.0875486381322957,212,0.2062256809338521,CA,21,DUBLIN,1
east side union high,2850.0,23714.0,0.1201821708695285,45.7,41.4,9.7,3.2,0.0,0,91,0.0319298245614035,0,0.0,377,0.1322807017543859,78,0.0273684210526315,2060,0.7228070175438597,0,0.0,15,0.0052631578947368,74,0.0259649122807017,141,0.0494736842105263,CA,11,SAN JOSE,2
east whittier city elementary,1115.0,7769.0,0.1435191144291414,37.8,28.5,20.4,1.7,11.6,0,12,0.010762331838565,0,0.0,0,0.0,0,0.0,960,0.8609865470852018,35,0.0313901345291479,0,0.0,12,0.010762331838565,77,0.0690582959641255,CA,21,WHITTIER,1
eastside union elementary,442.0,3114.0,0.1419396274887604,57.0,11.1,24.4,1.4,6.1,0,144,0.3257918552036199,0,0.0,0,0.0,0,0.0,252,0.5701357466063348,0,0.0,0,0.0,12,0.0271493212669683,24,0.0542986425339366,CA,41,LANCASTER,1
el dorado county office of education,566.0,2299.0,0.2461939973901696,38.0,4.8,30.4,2.1,24.7,0,0,0.0,0,0.0,19,0.0335689045936395,0,0.0,102,0.1802120141342756,0,0.0,0,0.0,30,0.0530035335689045,388,0.6855123674911661,CA,41,PLACERVILLE,1
el dorado union high,927.0,6541.0,0.1417214493196759,67.9,20.0,8.4,3.8,0.0,0,19,0.0204962243797195,13,0.0140237324703344,23,0.0248112189859762,11,0.011866235167206,210,0.2265372168284789,0,0.0,0,0.0,55,0.0593311758360302,594,0.6407766990291263,CA,32,PLACERVILLE,0
elk grove unified,9287.0,63518.0,0.1462105230013539,51.4,17.9,21.1,3.9,5.7,0,1507,0.1622698395606762,48,0.0051685151286744,1728,0.1860665446322816,317,0.0341337353289544,3181,0.3425218046731991,0,0.0,118,0.0127059330246581,917,0.0987401744373855,1463,0.1575320340260579,CA,21,ELK GROVE,1
encinitas union elementary,664.0,4444.0,0.1494149414941494,73.3,7.5,9.3,0.2,9.6,0,0,0.0,0,0.0,16,0.0240963855421686,0,0.0,194,0.2921686746987952,0,0.0,0,0.0,40,0.0602409638554216,387,0.5828313253012049,CA,13,ENCINITAS,0
escondido union high,1314.0,8916.0,0.1473755047106325,64.5,22.0,11.8,1.7,0.0,0,34,0.0258751902587519,0,0.0,21,0.0159817351598173,0,0.0,957,0.728310502283105,13,0.0098934550989345,0,0.0,25,0.0190258751902587,250,0.1902587519025875,CA,21,ESCONDIDO,2
